PVxMPIN,PVxSCIE
329.6292,336.5658
352.795,287.5698
446.7679,547.2070000000001
541.1182,515.1068
486.632,429.1877
360.9211,380.3342
337.84250000000003,398.1786
603.6671,576.251
479.25290000000007,502.169
424.6263,445.78780000000006
422.9963,471.9705
633.1171,688.3956000000001
276.5835,306.9495
493.3387,473.7253
660.1377,635.9992
325.017,349.2463
340.2722,384.6683
324.07280000000003,374.951
391.2156,466.7384
375.0714,389.1865
449.8875,502.6437
496.0642,451.8841000000001
440.1945,463.0729
527.2492,703.1692
468.3346,419.231
271.17,336.09490000000005
610.1562,587.3380999999999
292.9606,314.13469999999995
523.9252,524.5885000000001
596.344,616.7785
600.1450000000001,634.4713
428.3226,467.8223
493.8821,527.7211
569.0138,592.5712
522.8453000000001,496.8839
408.5894,398.4389
323.1,330.9948
516.2701999999999,518.2354
393.9234,393.0928
652.9979000000001,610.51
405.3686,434.73849999999993
303.1532,387.9797
487.3543999999999,519.8318
350.1804,406.6972
322.4037,321.7915
373.9328,358.90600000000006
566.3100000000001,607.1519000000001
343.6054,340.90489999999994
645.0009,594.4038000000002
472.5503000000001,449.1591
338.2625,371.1315
394.4346000000001,425.1717
331.5141,348.6593
308.669,370.5506000000001
473.2146999999999,440.5397999999999
444.7837,380.4703
435.50930000000005,504.5322
374.7331,356.43940000000003
467.9473000000001,543.5529
567.9836,619.0029
453.6618,476.6163
388.733,437.7787
232.423,367.6228
453.051,486.3663
539.8017,568.5717000000001
436.4672000000001,461.7234
461.5794,444.956
515.1191000000001,520.1159
427.9518,496.8349
294.706,260.0905
294.2168,332.2887
573.1685,609.9471
521.9053,489.9401
435.37299999999993,471.8168
439.5924,444.576
344.8894,418.8137
341.1473,334.4297
356.75230000000005,355.929
368.2685,408.9469
340.1702,316.2392
596.6073,653.2998
286.5498,314.7948
516.8721999999999,545.3171
519.142,534.333
380.0968,459.3642
345.1599,363.1396
574.6942999999999,572.7774000000001
473.3872,457.2248
536.6535999999999,595.0686
406.5303,412.9167000000001
372.7134,374.6356
689.8108000000001,772.1571999999999
437.477,449.4656
578.2607,595.8917
407.9873,406.0159
312.08669999999995,370.3913
304.1891,324.9651
591.455,575.1458
