ESCS,PVxSCIE,REGION
0.2951,564.399,Europe
-1.2649,322.17030000000005,Asia
-1.3724,439.3603,Europe
-0.7981,400.5651,Europe
-1.0946,466.09170000000006,Americas
0.8186,612.6243000000001,Americas
-0.4205,375.8586,Asia
0.2098,567.2189000000001,Americas
1.4482,492.2336,Europe
0.8526,619.3983999999999,Asia
0.0887,477.1364,Oceania
1.2288,516.472,Europe
-0.7643,387.0335,Asia
1.2022,417.5951,Americas
0.4267,464.2646000000001,Americas
0.9206,443.3776,Americas
-0.2881,275.93170000000003,Asia
-0.8658,320.62659999999994,Asia
-0.6748,381.9087,Americas
-1.6405,556.8860000000001,Asia
1.0731,553.7232000000001,Europe
0.5442,510.3994000000001,Americas
0.3323947144799456,521.9631999999999,Europe
-2.6254,354.2636,Americas
-2.8276,392.36660000000006,Americas
-0.4574,563.7110999999999,Europe
-0.0958,622.7073,Europe
0.1631,351.57640000000004,Europe
-1.2437,447.2568,Asia
-1.8302,349.5283,Africa
0.4649,463.7489000000001,Oceania
-1.394,432.4622,Asia
0.9079,597.3014999999999,Americas
-1.8347,298.5855,Americas
-1.6979,403.9576,Americas
-4.4261,372.936,Africa
1.1233,448.5987,Americas
0.7092,474.3885,Americas
-0.816,293.65950000000004,Europe
0.4795,503.8083,Oceania
0.985,586.4997999999999,Europe
-3.978,318.13290000000006,Americas
0.8376,406.691,Asia
-1.5972,324.8885,Americas
-0.4018,438.8334999999999,Otro
-1.2935,521.2248000000001,Europe
0.7127,525.2241,Europe
1.4315,533.7436,Europe
0.8593,532.5886999999999,Americas
-1.8877,404.3933,Europe
-1.3214,381.8194,Americas
-0.2641,524.5152,Europe
-0.0337,550.0428,Europe
-2.3091,385.0891,Asia
0.5747,644.767,Asia
-1.2046,436.5362999999999,Asia
-1.2318,382.86300000000006,Europe
-2.4232,503.6685000000001,Asia
1.2208,591.2592,Europe
0.2567,556.9653999999999,Europe
-0.0328,481.5147,Europe
-2.2697,352.0839,Asia
1.0224,343.6645,Americas
-0.8821,367.0284,Asia
1.6221,711.4657,Europe
-0.5501,551.9915,Asia
-1.2236,354.2402,Asia
0.1677,538.5298,Americas
0.9935,524.3786,Europe
-1.0812,366.8828,Asia
1.1917,545.4382000000002,Europe
1.1998,637.2319999999999,Europe
1.182,621.4784999999999,Europe
0.2148,674.0062,Europe
-0.4356,462.5311,Americas
0.6208,476.0882,Europe
0.4122,368.1797,Asia
-0.1444,319.64390000000003,Americas
-1.1182,481.4521999999999,Europe
1.0345,587.5939000000001,Americas
-0.0281,389.4688,Europe
-1.3387,550.3186999999999,Americas
0.2806,399.3746,Europe
0.8963,508.1029,Europe
-0.6809,367.17500000000007,Asia
0.8878,653.5542,Europe
-0.6513,610.8566999999999,Otro
-1.0263,456.85690000000005,Europe
0.2042,532.2306000000001,Europe
0.41,597.0305000000001,Americas
1.6161,322.79820000000007,Europe
-0.3137,391.92009999999993,Americas
-1.7541,415.7121,Europe
-0.2243,283.89070000000004,Asia
-1.433,478.8135,Asia
-1.3569,522.2499,Europe
0.3551,604.1768,Asia
1.0014,633.6320999999998,Europe
